child_id,chsex,chethnic,chlang,chldrel,preprim,agegr1,lang_math_test,verbal_score,math_score,lang_instr,testlang_lang,raw_lang,perco_lang,testlang_math,raw_maths,perco_maths,lang_primary,typesite_r1,zwfa,zhfa,zbfa,underweight,stunting,thinness,caredu_r1,careage_r1,caresex_r1,carerel_r1,carecantread_r1,ownlandhse_r1,numante,literate_r2,levlwrit_r2,levlread_r2,typesite_r3,hhsize,wi_new,hq_new,sv_new,cd_new,drwaterq_new,toiletq_new,elecq_new,cookingq_new,aniany,ownhouse,entype_r4,timesch_r4,childloc_r4,hwork_r5,no_activ,type_activ,region,hghgrade_4,hghgrade_final,hghgrade_4_num,hghgrade_final_num,care_educ_num,active,wage_employ,self_employ,wage_employII,self_employII,rural_3,IMTI,E_is
21015,Male,Oromo,Amharic,7,1,5,Amharic,177,10,Amharic,Amharic,20,83.33333587646484,Amharic,18,64.28571319580078,Amharic,1,-0.85,0.04,-1.42,0,0,0,5,35,2,4,0,0,NA,0,3,2,1,3,0.5518518686294556,0.3055555522441864,0.75,0.6000000238418579,1,0,1,1,1,0,1,120,1,0,1,12,Addis Ababa,30,13,0,13,5,0,1,NA,0,0,0,0,0
21016,Male,Oromo,Amharic,7,0,6,Amharic,190,11,English,Amharic,20,83.33333587646484,English,22,78.57142639160156,Amharic,1,-2.16,-1.95,-1.22,1,0,0,1,30,2,1,0,0,NA,0,3,2,1,5,0.5777777433395386,0.28333333134651184,0.75,0.699999988079071,1,1,1,0,0,0,4,5,0,0,NA,NA,Addis Ababa,12,14,12,14,1,0,0,0,0,0,0,0,0
21017,Male,Amhara,Amharic,7,1,8,Amharic,164,3,Amharic,Amharic,15,62.5,Amharic,13,46.42856979370117,Amharic,1,-0.98,-0.8200000000000001,-0.71,0,0,0,4,30,2,1,0,0,NA,0,3,3,1,5,0.4555555582046509,0.3166666626930237,0.75,0.30000001192092896,1,1,1,0,0,0,4,NA,1,10,1,12,Addis Ababa,7,8,7,8,4,1,1,NA,0,0,0,6,0.75
21018,Female,Oromo,Amharic,7,1,10,Amharic,103,0,Amharic,Amharic,7,29.16666603088379,Amharic,7,25,Amharic,1,-3.22,-1.09,-3.97,2,0,2,4,38,2,1,0,1,NA,1,3,4,1,11,0.581818163394928,0.29545456171035767,0.75,0.699999988079071,1,1,1,0,0,1,NA,NA,1,0,NA,NA,Addis Ababa,7,7,7,7,4,0,0,0,0,0,0,0,0
21019,Male,Other,Amharic,2,1,7,Amharic,181,6,Amharic,Amharic,17,70.83333587646484,Amharic,9,32.14285659790039,Amharic,1,0.14,0.8,-0.5700000000000001,0,0,0,8,26,2,1,0,0,NA,0,3,3,1,7,0.5492063760757446,0.2976190447807312,0.75,0.6000000238418579,1,1,1,0,0,0,NA,NA,1,9,1,13,Addis Ababa,7,7,7,7,8,1,1,NA,1,NA,0,0,0
21020,Female,Amhara,Amharic,7,1,8,Amharic,186,14,Amharic,Amharic,20,83.33333587646484,Amharic,19,67.85713958740234,Amharic,1,-2.93,-1.17,-3.43,1,0,2,8,42,2,1,0,0,NA,1,3,4,1,4,0.5111110806465149,0.0833333358168602,0.75,0.699999988079071,1,1,1,0,0,0,4,10,1,0,NA,NA,Addis Ababa,10,14,10,14,8,0,0,0,0,0,0,6,0.75
21021,Male,Gurage,Amharic,7,1,6,Amharic,178,8,English,Amharic,18,75,Amharic,18,64.28571319580078,Amharic,1,-1.5,-0.7000000000000001,-1.68,0,0,0,0,38,2,1,1,0,NA,1,3,4,1,7,0.541269838809967,0.2738095223903656,0.75,0.6000000238418579,1,1,1,0,0,0,4,NA,0,0,NA,NA,Addis Ababa,12,14,12,14,0,0,0,0,0,0,0,0,0
21022,Female,Gurage,Amharic,2,1,6,Amharic,183,5,Amharic,Amharic,21,87.5,Amharic,18,64.28571319580078,Amharic,1,-1.53,-0.5700000000000001,-1.85,0,0,0,2,40,2,1,0,0,NA,1,3,4,1,7,0.7492063641548157,0.5476190447807312,1,0.699999988079071,1,1,1,1,0,0,4,15,1,NA,NA,NA,Addis Ababa,11,11,11,11,2,NA,NA,NA,NA,NA,0,0,0
21023,Male,Oromo,Amharic,7,1,6,Amharic,184,7,Amharic,Amharic,21,87.5,Amharic,22,78.57142639160156,Amharic,1,0.49,0.77,0.01,0,0,0,0,35,2,1,1,0,NA,0,2,3,1,8,0.5472222566604614,0.2916666567325592,0.75,0.6000000238418579,1,1,1,0,1,0,4,60,1,3,1,12,Addis Ababa,10,13,10,13,0,1,1,NA,0,0,0,0,0
21024,Female,Oromo,Amharic,7,1,7,Amharic,182,2,Amharic,Amharic,17,70.83333587646484,Amharic,16,57.14285659790039,Amharic,1,-0.5700000000000001,1.01,-1.84,0,0,0,5,34,2,1,0,0,NA,1,3,4,1,5,0.5555555820465088,0.3166666626930237,0.75,0.6000000238418579,1,1,1,0,0,1,NA,NA,1,NA,NA,NA,Addis Ababa,7,7,7,7,5,NA,NA,NA,NA,NA,0,0,0
