child_id,chsex,chethnic,chlang,chldrel,preprim,agegr1,lang_math_test,verbal_score,math_score,lang_instr,raw_lang,perco_lang,raw_maths,perco_maths,lang_primary,typesite_r1,zwfa,zhfa,zbfa,underweight,stunting,thinness,caredu_r1,careage_r1,caresex_r1,carerel_r1,carecantread_r1,ownlandhse_r1,typesite_r3,hhsize,wi_new,hq_new,sv_new,cd_new,drwaterq_new,toiletq_new,elecq_new,cookingq_new,aniany,ownhouse,hwork_r5,no_activ,type_activ,region,hghgrade_4,hghgrade_final,hghgrade_4_num,hghgrade_final_num,care_educ_num,active,wage_employ,self_employ,wage_employII,self_employII,IMTI,E_is
151035,Male,Sidama,Sidamigna,6,0,8,Sidamigna,146,1,Sidamigna,11,45.83333206176758,12,42.85714340209961,Sidamigna,2,-0.93,-0.99,-0.47000000000000003,0,0,0,1,24,2,1,1,1,2,6,0.3777777850627899,0.3333333432674408,0.5,0.30000001192092896,1,1,0,0,1,1,NA,NA,NA,SNNP,6,6,6,6,1,NA,NA,NA,NA,NA,4,0.5
151039,Female,Sidama,Sidamigna,6,0,12,Sidamigna,133,1,Sidamigna,0,0,NA,NA,Sidamigna,2,-1.71,-2.71,0.05,0,1,0,0,27,2,1,1,1,2,7,0.15793651342391968,0.02380952425301075,0.25,0.20000000298023224,0,1,0,0,1,0,0,1,1,SNNP,1,6,1,6,0,0,NA,1,0,0,4,0.5
151041,Female,Sidama,Sidamigna,6,0,8,Sidamigna,127,3,Sidamigna,16,66.66666412353516,13,46.42856979370117,Sidamigna,2,-1.08,-1.1500000000000001,-0.5700000000000001,0,0,0,3,37,2,1,1,1,2,7,0.3817460238933563,0.5952380895614624,0.25,0.30000001192092896,0,1,0,0,1,1,0,1,1,SNNP,7,10,7,10,3,0,NA,1,0,0,4,0.5
151042,Male,Sidama,Sidamigna,6,0,10,Sidamigna,136,0,Sidamigna,6,25,6,21.428571701049805,Sidamigna,2,-1.59,-1.16,-1.29,0,0,0,0,50,2,1,1,1,2,8,0.3708333373069763,0.3125,0.5,0.30000001192092896,1,1,0,0,1,1,0,1,1,SNNP,3,3,3,3,0,0,NA,1,0,0,3,0.5
151043,Female,Sidama,Sidamigna,6,0,7,Sidamigna,172,15,Sidamigna,17,70.83333587646484,13,46.42856979370117,Sidamigna,2,-1.19,-0.98,-0.89,0,0,0,0,52,2,1,1,1,2,7,0.4238095283508301,0.5714285969734192,0.5,0.20000000298023224,1,1,0,0,1,1,0,1,1,SNNP,9,13,9,13,0,0,NA,1,0,0,4,0.5
151044,Male,Sidama,Sidamigna,6,0,9,Sidamigna,155,4,Amharic,11,45.83333206176758,9,32.14285659790039,Amharic,2,-0.78,0.54,-1.86,0,0,0,0,39,2,1,1,1,2,7,0.40714287757873535,0.5714285969734192,0.25,0.4000000059604645,0,1,0,0,1,1,0,1,10,SNNP,7,8,7,8,0,0,NA,1,NA,1,0,0
151045,Male,Sidama,Sidamigna,6,0,9,Sidamigna,156,2,Sidamigna,7,29.16666603088379,5,17.85714340209961,Sidamigna,2,-4.09,-4.09,-1.61,2,2,0,3,33,2,1,0,1,2,9,0.28518518805503845,0.3055555522441864,0.25,0.30000001192092896,0,1,0,0,1,1,9,1,1,SNNP,8,9,8,9,3,1,NA,1,0,0,4,0.5
151049,Female,Sidama,Sidamigna,6,0,12,Sidamigna,113,NA,Sidamigna,9,37.5,4,14.285714149475098,Sidamigna,2,-3.16,-3.42,-1.12,2,2,0,0,48,2,1,1,1,2,9,0.1895061731338501,0.018518518656492233,0.25,0.30000001192092896,0,1,0,0,1,1,0,1,10,SNNP,3,4,3,4,0,0,NA,1,NA,1,4,0.5
151051,Female,Sidama,Sidamigna,6,0,7,Sidamigna,144,5,Sidamigna,14,58.33333206176758,14,50,Sidamigna,2,-1.1500000000000001,-0.24,-1.58,0,0,0,0,43,2,1,1,1,2,7,0.2984127104282379,0.3452380895614624,0.25,0.30000001192092896,0,1,0,0,1,1,0,1,1,SNNP,8,10,8,10,0,0,NA,1,0,0,4,0.5
151052,Female,Sidama,Sidamigna,6,0,3,Sidamigna,121,1,Sidamigna,11,45.83333206176758,15,53.57143020629883,Sidamigna,2,-1.82,-1.96,-0.8200000000000001,0,0,0,3,32,2,1,0,1,2,7,0.22460317611694336,0.02380952425301075,0.25,0.4000000059604645,0,1,0,0,1,1,0,1,4,SNNP,5,7,5,7,3,0,NA,1,0,0,4,0.5
151053,Female,Sidama,Sidamigna,6,0,7,Sidamigna,136,1,Sidamigna,13,54.16666793823242,9,32.14285659790039,Sidamigna,2,-0.32,-0.36,-0.2,0,0,0,6,25,2,1,0,1,2,5,0.2777777910232544,0.03333333507180214,0.5,0.30000001192092896,1,1,0,0,1,1,0,1,1,SNNP,9,10,9,10,6,0,NA,1,0,0,4,0.5
151054,Male,Sidama,Sidamigna,6,0,9,Sidamigna,126,5,Sidamigna,6,25,8,28.571428298950195,Sidamigna,2,-2.09,-1.69,-1.42,1,0,0,0,33,2,1,0,1,2,6,0.24259258806705475,0.02777777798473835,0.5,0.20000000298023224,1,1,0,0,1,1,0,1,1,SNNP,6,8,6,8,0,0,NA,1,0,0,4,0.5
151056,Male,Sidama,Sidamigna,6,0,9,Sidamigna,156,0,Sidamigna,8,33.33333206176758,8,28.571428298950195,Sidamigna,2,-1.79,-1.77,-0.87,0,0,0,0,25,2,2,1,1,2,6,0.3444444537162781,0.3333333432674408,0.5,0.20000000298023224,1,1,0,0,1,1,0,1,10,SNNP,6,4,6,4,0,0,NA,1,NA,1,4,0.5
151057,Male,Sidama,Sidamigna,2,0,11,Sidamigna,159,2,Sidamigna,9,37.5,4,14.285714149475098,Sidamigna,2,-3.85,-3.45,-2.06,2,2,1,0,41,2,1,1,1,2,8,0.24027778208255768,0.02083333395421505,0.5,0.20000000298023224,1,1,0,0,1,1,0,1,2,SNNP,6,7,6,7,0,0,NA,1,0,0,4,0.5
151058,Female,Sidama,Sidamigna,2,0,11,Sidamigna,145,0,NA,NA,NA,NA,NA,Sidamigna,2,-1.9100000000000001,-1.56,-1.3800000000000001,0,0,0,0,37,2,1,0,1,2,9,0.1895061731338501,0.018518518656492233,0.25,0.30000001192092896,0,1,0,0,1,1,0,1,1,SNNP,NA,NA,NA,NA,0,0,NA,1,0,0,NA,0.5
151059,Male,Sidama,Sidamigna,6,1,10,Sidamigna,93,0,Sidamigna,17,70.83333587646484,8,28.571428298950195,Sidamigna,2,-0.8300000000000001,-1.3800000000000001,0.1,0,0,0,8,35,2,1,0,1,2,7,0.2746031880378723,0.02380952425301075,0.5,0.30000001192092896,1,1,0,0,1,1,0,1,10,SNNP,7,7,7,7,8,0,NA,1,NA,1,4,0.5
151064,Male,Sidama,Sidamigna,6,0,8,Sidamigna,136,4,Sidamigna,13,54.16666793823242,16,57.14285659790039,Sidamigna,2,-1.2,-2.0100000000000002,0.18,0,1,0,8,26,2,1,0,1,2,5,0.24444444477558136,0.03333333507180214,0.5,0.20000000298023224,1,1,0,0,1,0,0,NA,NA,SNNP,9,10,9,10,8,0,0,0,0,0,4,0.5
151066,Female,Sidama,Sidamigna,6,0,8,Sidamigna,119,1,Sidamigna,8,33.33333206176758,14,50,Sidamigna,2,-1.78,-1.58,-1.16,0,0,0,0,37,2,1,1,1,2,8,0.3708333373069763,0.5625,0.25,0.30000001192092896,0,1,0,0,1,1,0,NA,NA,SNNP,8,9,8,9,0,0,0,0,0,0,4,0.5
151067,Male,Sidama,Sidamigna,6,0,10,Sidamigna,177,NA,Sidamigna,12,50,7,25,Sidamigna,2,-5.12,-5.12,-2.2800000000000002,2,2,1,2,29,2,1,1,1,2,6,0.192592591047287,0.02777777798473835,0.25,0.30000001192092896,0,1,0,0,1,0,0,1,1,SNNP,6,9,6,9,2,0,NA,1,0,0,4,0.5
151068,Male,Sidama,Sidamigna,6,0,10,Sidamigna,149,1,Sidamigna,18,75,21,75,Sidamigna,2,-1.04,-1.1,-0.5,0,0,0,0,50,2,1,1,1,2,5,0.21111111342906952,0.03333333507180214,0.5,0.10000000149011612,1,1,0,0,0,0,0,1,3,SNNP,6,9,6,9,0,0,NA,1,0,0,4,0.5
151069,Male,Sidama,Sidamigna,6,0,15,Sidamigna,98,NA,Sidamigna,8,33.33333206176758,8,28.571428298950195,Sidamigna,2,-2.85,-4.22,0.43,1,2,0,7,27,2,1,0,1,2,6,0.2092592567205429,0.02777777798473835,0.5,0.10000000149011612,1,1,0,0,1,1,0,1,1,SNNP,2,5,2,5,7,0,NA,1,0,0,4,0.5
151070,Male,Sidama,Sidamigna,6,0,11,Sidamigna,180,NA,Sidamigna,1,4.166666507720947,0,0,Sidamigna,2,-2.09,-1.6300000000000001,-1.5,1,0,0,0,38,2,1,1,1,2,7,0.3738095164299011,0.3214285671710968,0.5,0.30000001192092896,1,1,0,0,1,1,0,1,1,SNNP,3,3,3,3,0,0,NA,1,0,0,3,0.5
161001,Female,Hadiya,Hadiya,6,0,10,Hadiya,NA,0,NA,NA,NA,NA,NA,Hadiya,2,-0.59,-0.35000000000000003,-0.58,0,0,0,0,38,2,1,1,1,2,7,0.0912698432803154,0.02380952425301075,0.25,0,0,1,0,0,1,1,NA,NA,NA,SNNP,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.5
161002,Male,Hadiya,Hadiya,2,0,10,Hadiya,108,2,Hadiya,10,41.66666793823242,12,42.85714340209961,Hadiya,2,-0.08,-0.25,0.08,0,0,0,0,37,2,1,1,1,2,4,0.2083333283662796,0.375,0.25,0,1,0,0,0,1,1,NA,NA,NA,SNNP,7,7,7,7,0,NA,NA,NA,NA,NA,4,0.5
161003,Female,Hadiya,Hadiya,2,0,10,Hadiya,123,NA,Hadiya,8,33.33333206176758,7,25,Hadiya,2,-1.25,-1.03,-0.9400000000000001,0,0,0,0,26,2,1,1,1,2,9,0.23950617015361786,0.018518518656492233,0.5,0.20000000298023224,1,1,0,0,1,1,0,1,10,SNNP,5,5,5,5,0,0,NA,1,NA,1,4,0.5
